HS_GPA,HS_MATH_GPA,HS_ENGL_GPA,UNITS_ATTEMPTED_1,UNITS_ATTEMPTED_2,UNITS_ATTEMPTED_3,UNITS_COMPLETED_1,UNITS_COMPLETED_2,UNITS_COMPLETED_3,DFW_UNITS_1,DFW_UNITS_2,DFW_UNITS_3,GPA_1,GPA_2,GPA_3
3.679,3.2,3.5,10.0,,,0.0,,,13.0,,,0.0,,
3.438,3.2,3.5,13.0,,,0.0,,,13.0,,,0.0,,
4.0,3.75,3.667,12.0,,,12.0,,,0.0,,,3.75,,
3.133,2.667,3.75,9.0,6.0,,3.0,0.0,,7.0,6.0,,1.3333333333333333,0.0,
3.406,2.5,3.0,15.0,6.0,,12.0,0.0,,3.0,6.0,,2.0,0.5,
3.292,2.0,3.8,12.0,12.0,,0.0,0.0,9.0,15.0,9.0,3.0,0.0,1.75,
3.459,3.8,3.5,,,,0.0,,,15.0,,,,,
2.951,1.2,2.75,12.0,,,0.0,,,15.0,,,0.0,,
3.5,2.6,2.5,14.0,,,0.0,,,14.0,,,0.0,,
2.939,1.833,3.167,12.0,12.0,,6.0,0.0,,9.0,12.0,,1.25,0.0,
